Cell1,Cell2,Exp1,Exp2,Rep1,Rep2,Isrep,Color,Rsq,Nmi
HepG2,GM12878,5,4,1,0,0,k,0.33190227763686314,0.2363987473542563
IMR-90,GM12878,6,4,0,0,0,k,0.3977316982381197,0.27390681804593825
IMR-90,GM12878,6,4,1,0,0,k,0.42760742687712827,0.2960513337566948
K562,GM12878,7,4,0,0,0,k,0.37333573738532955,0.27736328355380346
K562,GM12878,7,4,1,0,0,k,0.41146872234654275,0.2994342292766258
RWPE2,GM12878,8,4,0,0,0,k,0.15148026982790475,0.12634564499797105
RWPE2,GM12878,8,4,1,0,0,k,0.1876611433759968,0.14678367212696614
RWPE2,GM12878,8,4,2,0,0,k,0.20429992863988794,0.1599337761188535
WTC11,GM12878,9,4,0,0,0,k,0.28757187558890673,0.20449493629092932
WTC11,GM12878,9,4,1,0,0,k,0.2635102344226199,0.18827155978289226
HepG2,GM12878,5,4,0,1,0,k,0.22111170696789864,0.18611693001892066
HepG2,GM12878,5,4,1,1,0,k,0.28860894607231274,0.2355878609246863
IMR-90,GM12878,6,4,0,1,0,k,0.33647327640977137,0.2671794233505492
IMR-90,GM12878,6,4,1,1,0,k,0.36474208857830226,0.2872632753339703
K562,GM12878,7,4,0,1,0,k,0.3321056157897445,0.2739681484716791
K562,GM12878,7,4,1,1,0,k,0.3581666915972393,0.2919971584382898
RWPE2,GM12878,8,4,0,1,0,k,0.1391150274404168,0.12971843043642814
RWPE2,GM12878,8,4,1,1,0,k,0.16833314701011404,0.14884708943421238
RWPE2,GM12878,8,4,2,1,0,k,0.1826976991359464,0.16135225553755272
WTC11,GM12878,9,4,0,1,0,k,0.2550986297442375,0.2056993971227475
WTC11,GM12878,9,4,1,1,0,k,0.23874573121355874,0.19233831877629237
HepG2,HepG2,5,5,1,0,2,k,0.6490728399646902,0.5640107679511955
IMR-90,HepG2,6,5,0,0,0,k,0.2341826064731255,0.24047111903122012
IMR-90,HepG2,6,5,1,0,0,k,0.2499776313647568,0.2394898315509902
K562,HepG2,7,5,0,0,0,k,0.21950504602910242,0.21438146329505803
K562,HepG2,7,5,1,0,0,k,0.23320760112316222,0.21794216435008396
RWPE2,HepG2,8,5,0,0,0,k,0.13947431927114964,0.17289085381146213
RWPE2,HepG2,8,5,1,0,0,k,0.1574215583774767,0.1836363763044856
RWPE2,HepG2,8,5,2,0,0,k,0.17154357390245034,0.19315515129661728
WTC11,HepG2,9,5,0,0,0,k,0.20025382665708147,0.22553174606845922
WTC11,HepG2,9,5,1,0,0,k,0.18591351528099131,0.21600950131522573
IMR-90,HepG2,6,5,0,1,0,k,0.3128930567889115,0.29189867285535925
IMR-90,HepG2,6,5,1,1,0,k,0.33484244991883144,0.2972440170033778
K562,HepG2,7,5,0,1,0,k,0.2903018853960154,0.26811560044162225
K562,HepG2,7,5,1,1,0,k,0.31739163683449356,0.2788965953725955
RWPE2,HepG2,8,5,0,1,0,k,0.15917870522718722,0.17293059548556514
RWPE2,HepG2,8,5,1,1,0,k,0.18772747416808996,0.1920099539887468
RWPE2,HepG2,8,5,2,1,0,k,0.20576988708776642,0.20725539676302868
WTC11,HepG2,9,5,0,1,0,k,0.25676041128313853,0.2564158900912587
WTC11,HepG2,9,5,1,1,0,k,0.23487471592029793,0.23950831931476044
IMR-90,IMR-90,6,6,1,0,2,k,0.6973896286397951,0.6434064375947995
